Date,Open,High,Low,Close,Adj Close,Volume
2007-01-11,100.000000,100.000000,99.919998,99.919998,75.193443,1100
2007-01-12,99.879997,99.930000,99.849998,99.930000,75.200958,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,75.125702,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,75.118210,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,75.185921,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,75.103134,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,75.140831,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,75.035431,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,75.065521,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,74.915009,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,74.922516,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,74.899971,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,74.937653,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,75.133240,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,75.085732,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,75.123505,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,75.221550,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,75.349731,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,75.432800,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,75.462891,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,75.296974,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,75.236580,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,75.206367,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,75.530846,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,75.643967,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,75.651489,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,75.643967,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,75.711838,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,75.598686,200
